id,sample-count,bioproject,secondary-accession,study-abstract,study-name,samples
MGYS00005763,13,PRJNA508395,SRP178190,"Long read sequencing assembly of three healthy human gut microbiome samples, with multiple closed bacterial genomes including Prevotella copri.",Nanopore long read assembly of the human gut metagenome,"SRS5167522,SRS4238914,SRS5167521,SRS5167528,SRS5167526,SRS5167518,SRS5167519,SRS4238911,SRS5167527,SRS5167523,SRS5167524,SRS5167525,SRS5167520"
MGYS00005657,15,PRJEB41181,ERP124921,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB19090, and was assembled with metaSPAdes v3.14.1. This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.",EMG produced TPA metagenomics assembly of PRJEB19090 data set (Potential and active functions in the gut microbiota of a healthy human cohort).,"ERS1509319,ERS1509315,ERS1509321,ERS1509326,ERS1509327,ERS1509320,ERS1509317,ERS1509324,ERS1509328,ERS1509318,ERS1509323,ERS1509316,ERS1509325,ERS1509329,ERS1509322"
MGYS00005601,260,PRJEB30615,ERP113090,"Parkinsons disease (PD) is one of the most common neurodegenerative disorders. It has been repeatedly reported that most patients with PD suffer from gastrointestinal dysfunctions and alterations of the autonomous nervous system in the gut wall called the enteric nervous system (ENS). Such alterations and functional gastrointestinal deficits might occur years before the classical clinical symptoms of PD appear. Until now, only little is known about PD-associated changes in gut microbiota composition and their implication in PD development. Due to variance in previously published reports about the differences between community composition in PD and non-PD patients, our intention is to increase knowledge in this field with the use of two next generation sequencing (NGS) methods (Illumina MiSeq and Ion Torrent PGM) on the same set of samples. The V4 and V5 hypervariable region of bacterial 16S rRNA genes was PCR-amplified from stool samples of 39 PD patients and 25 healthy, age-matched control persons, respectively. Illumina- and Ion Torrent- based sequencing yielded divergent as well as congruent results regarding the bacterial microbiota composition of PD and control samples.Bacterial taxa with differences in relative abundance between PD and control samples that were traceable with both sequencing techniques might play a role for supporting PD diagnosis and therapy.",Identification of Intestinal Bacterial Taxa with a Potential Role in Parkinsons Disease using Illumina MiSeq and Ion Torrent Next Generation Sequencing,"ERS3014523,ERS3014583,ERS3014585,ERS3014584,ERS3014336,ERS3014337,ERS3014338,ERS3014341,ERS3014342,ERS3014344,ERS3014345,ERS3014347,ERS3014356,ERS3014357,ERS3014359,ERS3014362,ERS3014364,ERS3014368,ERS3014373,ERS3014376,ERS3014380,ERS3014383,ERS3014388,ERS3014389,ERS3014393"
MGYS00005516,55,PRJEB20800,ERP022986,"Antibiotics have profound impacts on the microbial communities living in the human gut, where bacterial species harbor and exchange antibiotic resistance genes collectively called resistome. Human population surveys have demonstrated that gut microbial resistomes reflect local antibiotics usage patterns, while previous small cohort studies based on single antibiotic exposures have shown varying degrees of antibiotic impact on the gut microbiota and their associated resistome. However, the role of resistomes of particular gut species in their ability to persist in the face of antibiotic treatment has not been systematically studied.Applying shotgun sequencing and quantitative metagenomics, we analyzed the partial eradication and subsequent regrowth of gut microbiota in 12 healthy young men over a 6 month period following a 4-day intervention with three broad-spectrum antibiotics. The gut microbial communities of the study subjects underwent profound compositional changes due to the treatment but slowly recovered to near-baseline compositions. Immediately after the treatment, the gut microbiota featured an increased relative abundance of opportunistic and proinflammatory bacterial species, and a decreased relative abundance of short chain fatty acid producers, while exhibiting an increased functional potential for multidrug efflux pumps and virulence factors. These enrichment trends were weaker after 8 days and mostly cleared out after 42 days. However, 9 common intestinal commensal species found at baseline and associated with short chain fatty production or efficient digestion of polysaccharides remained undetectable in most of the subjects even after 180 days.Carrying genes that confer resistance to the antibiotics used in this multidrug study had specific consequences for the survival and de novo colonization potential of microbial species. While species harboring beta-lactam resistance genes were positively selected during and after the intervention, those harboring glycopeptide or aminoglycoside resistance exhibited increased odds of de novo colonization but decreased odds of survival. Despite a mild long-lasting imprint following exposure to three antibiotics, the gut microbiota of healthy young adults are resilient to a broad-spectrum antibiotic intervention, and their recovery process is modulated by antibiotic resistance gene carriage.",Gut resistome modulates resilience and recovery of gut microbiota after broad-spectrum antibiotic treatment,"ERS1726296,ERS1726297,ERS1726304,ERS1726343,ERS1726331,ERS1726321,ERS1726346,ERS1726318,ERS1726320,ERS1726335,ERS1726314,ERS1726322,ERS1726328,ERS1726341,ERS1726316,ERS1726345,ERS1726326,ERS1726336,ERS1726340,ERS1726306,ERS1726293,ERS1726347,ERS1726302,ERS1726337,ERS1726303"
MGYS00005392,71,PRJEB31446,ERP114010,The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set: PRJEB7772.  This project includes samples from the following biomes: root:Host-associated:Human:Digestive system:Large intestine:Fecal.,EMG produced TPA metagenomics assembly of the PRJEB7772 data set (An analysis of the composition of viruses and bacteria in stool samples from IBD patients and healthy controls.).,"ERS698791,ERS698796,ERS698660,ERS698769,ERS698792,ERS698822,ERS698654,ERS698656,ERS698659,ERS698661,ERS698662,ERS698665,ERS698670,ERS698681,ERS698683,ERS698688,ERS698699,ERS698703,ERS698705,ERS698714,ERS698718,ERS698720,ERS698723,ERS698725,ERS698729"
MGYS00005394,9,PRJEB9818,ERP010965,"The bacterial component of the human gut microbiota undergoes a definable program of postnatal development. Evidence is accumulating that this program is disrupted in children with severe acute malnutrition (SAM) and that their persistent gut microbiota immaturity, which is not durably repaired with current ready-to-use therapeutic food (RUTF) interventions, is causally related to disease pathogenesis. To further characterize gut microbial community development in healthy versus malnourished infants/children, we performed a time-series metagenomic study of DNA isolated from virus-like particles (VLPs) recovered from fecal samples collected during the first 30 months of postnatal life from eight pairs of mono- and dizygotic Malawian twins concordant for healthy growth, and 12 twin pairs discordant for SAM (either marasmus or kwashiorkor). Both members of discordant pairs were sampled just prior to, during and after treatment with a peanut-based RUTF. Using Random Forests and a dataset of 17,676 viral contigs assembled from shotgun sequencing reads of VLP DNAs, we identified viruses that distinguish different assembly stages of the gut microbiota in the concordant healthy twin pairs. This normal developmental program was impaired in both members of SAM discordant pairs and not repaired with RUTF. Phage plus viruses belonging to the Anelloviridae and Circoviridae families of single-stranded eukaryotic viruses discriminate  discordant pairs from concordant healthy pairs. These results disclose that apparently healthy co-twins in discordant pairs have viromes indicative of familial risk for SAM and provide a human model for delineating normal versus perturbed postnatal acquisition and retention of the gut microbiotas viral component in populations at risk for malnutrition.",The gut DNA viromes of Malawian twins discordant for severe acute undernutrition,"ERS795707,ERS795708,ERS795728,ERS795772,ERS795773,ERS795794,ERS795891,ERS795731,ERS795819"
MGYS00005350,52,PRJNA321058,SRP075633,"This is an uncontrolled, prospective open-label study of FMT from healthy donors to subjects with active CD. A single FMT was performed via colonoscopy. Stool samples were collected prior to FMT and at two time points, four and eight weeks after FMT. Recipients microbial diversity, mucosal T-cell phenotypes and clinical and inflammatory parameters were measured over 12 weeks, and safety over 26 weeks.",Increased intestinal microbial diversity following fecal microbiota transplant for active Crohn''s disease,"SRS1465262,SRS1465274,SRS1465271,SRS1465258,SRS1465248,SRS1465259,SRS1465257,SRS1465256,SRS1465233,SRS1465235,SRS1465236,SRS1465264,SRS1465246,SRS1465263,SRS1465232,SRS1465273,SRS1465265,SRS1465275,SRS1465229,SRS1465254,SRS1465280,SRS1465276,SRS1465267,SRS1465242,SRS1465253"
MGYS00005341,102,PRJEB15111,ERP016813,"Coronary heart disease (CHD) is top risk factor for health in modern society, causing high mortality rate each year. However, there is no reliable way for early diagnosis and prevention of CHD so far. So study the mechanism of CHD and development of novel biomarkers is urgently needed. In this study, metabolomics and metagenomics technology are applied to discover new biomarkers from plasma and urine of 59 CHD patients and 43 healthy controls and trace their origin. We identify GlcNAc-6-P which has good diagnostic capability and can be used as potential biomarkers for CHD, together with mannitol and 15 plasma cholines. These identified metabolites show significant correlations with clinical biochemical indexes. Meanwhile, GlcNAc-6-P and mannitol are potential metabolites originated from intestinal microbiota. Association analysis on species and function levels between intestinal microbes and metabolites suggest a close correlation between Clostridium sp. HGF2 and GlcNAc-6-P, Clostridium sp. HGF2, Streptococcus sp. M143, Streptococcus sp. M334 and mannitol. These suggest the metabolic abnormality is significant and gut microbiota dysbiosis happens in CHD patients.",Integrated metabolomics and metagenomics analysis of plasma and urine identified microbial metabolites associated with coronary heart disease,"ERS1289738,ERS1289708,ERS1289680,ERS1289710,ERS1289747,ERS1289751,ERS1289735,ERS1289776,ERS1289696,ERS1289742,ERS1289724,ERS1289733,ERS1289695,ERS1289775,ERS1289711,ERS1289700,ERS1289727,ERS1289704,ERS1289725,ERS1289719,ERS1289715,ERS1289678,ERS1289743,ERS1289752,ERS1289722"
MGYS00005339,3,PRJEB12669,ERP014167,"Early colonization of intestinal microflora in the human gut is a complex process. It remains unclear when intestinal microflora colonization occurs and how it proceeds. we recruited 10 healthy pairs of twins, including five monozygotic(MZ) and five dizygotic(DZ) twin pairs,who ranged in age from 0 to 6 years old.We performed shotgun metagenomic sequencing on 20 samples and generated averaged data output of 2G per sample.",Gut microbiota of 10 pairs of Chinese infant twins,"ERS1202828,ERS1202820,ERS1202827"
MGYS00005203,832,PRJEB20022,ERP022127,"Changes in the relative abundances of many intestinal microorganisms, both those that naturally occur in the human gut microbiome and those that are considered pathogens, have been associated with a range of diseases. To more accurately diagnose health conditions, medical practitioners could benefit from a molecular, culture-independent assay for the quantification of these microorganisms in the context of a healthy reference range. Here we present the targeted sequencing of the microbial 16S rRNA gene of clinically relevant gut microorganisms as a method to provide a gut screening test that could assist in the clinical diagnosis of certain health conditions. We evaluated the possibility of detecting 46 clinical prokaryotic targets in the human gut, 28 of which could be identified with high precision and sensitivity by a bioinformatics pipeline that includes sequence analysis and taxonomic annotation. These targets included 20 commensal, 3 beneficial (probiotic), and 5 pathogenic intestinal microbial taxa. Using stool microbiome samples from a cohort of 897 healthy individuals, we established a reference range defining clinically relevant relative levels for each of the 28 targets. Our assay quantifies 28 targets in the context of a healthy reference range and correctly reflected 38/38 verification samples of real and synthetic stool material containing known gut pathogens. Thus, we have established a method to determine microbiome composition with a focus on clinically relevant taxa, which has the potential to contribute to patient diagnosis, treatment, and monitoring.",16S rRNA gene sequencing and healthy reference ranges for 28 clinically relevant microbial taxa from the human gut microbiome,"ERS1603557,ERS1603558,ERS1603559,ERS1603560,ERS1603561,ERS1603562,ERS1603563,ERS1603564,ERS1603565,ERS1603566,ERS1603567,ERS1603568,ERS1603569,ERS1603570,ERS1603571,ERS1603572,ERS1603573,ERS1603574,ERS1603575,ERS1603576,ERS1603577,ERS1603578,ERS1603579,ERS1603580,ERS1603581"
MGYS00005184,1557,PRJEB14839,ERP016515,"Intestinal microbiota is known to be important in health and disease. Its composition is influenced by both environmental and host factors. However, few large-scale studies have evaluated the association between host genetic variation and the composition of microbiota. We recruited a cohort of 1,561 healthy individuals, of whom 270 belong in 123 families, and found that almost one-third of fecal bacterial taxa were heritable. In addition, we identified 58 SNPs associated with the relative abundance of 33 taxa in 1 ,098 discovery subjects. Among these, four loci were replicated in a second cohort of 463 subjects: rs621711 78 (nearest gene UBR3) associated with Rikenellaceae, rs1394174 (CNTN6) associated with Faecalibacterium, rs59846192 (DMRTB1) associated with Lachnospira, and rs28473221 (SALL3) associated with Eubacterium. After correction for multiple testing, six associations of 58 remained significant, one of which replicated. These results identify associations between specific genetic variants and the gut microbiome.",Association of host genome with intestinal microbial composition in a large healthy cohort,"ERS1310145,ERS1310146,ERS1310147,ERS1310148,ERS1310149,ERS1310150,ERS1310151,ERS1310152,ERS1310153,ERS1310154,ERS1310155,ERS1310156,ERS1310157,ERS1310158,ERS1310159,ERS1310160,ERS1310161,ERS1310162,ERS1310163,ERS1310164,ERS1310165,ERS1310166,ERS1310167,ERS1310168,ERS1310169"
MGYS00005159,464,PRJNA290926,SRP062005,Using microbiome-based models to differentiate healthy patients from those with colonic lesions.,Microbiome analysis complements fecal occult blood test for improved detection,"SRS1022872,SRS1022903,SRS1023138,SRS1023217,SRS1023226,SRS1022661,SRS1022659,SRS1022667,SRS1022727,SRS1022722,SRS1022739,SRS1022780,SRS1022796,SRS1022838,SRS1022899,SRS1022892,SRS1022918,SRS1023109,SRS1023101,SRS1023099,SRS1023130,SRS1023211,SRS1023174,SRS1023234,SRS1022705"
MGYS00005247,443,PRJDB4998,DRP003338,Fecal microbiota of Japanese healthy adults. 16s rRNA gene library of V1-V2 hyper variable regions derived from the fecal samples of 516 subjects.,Fecal microbiota of Japanese healthy adults,"DRS035241,DRS035244,DRS035252,DRS035260,DRS035265,DRS035338,DRS035543,DRS035549,DRS035551,DRS035552,DRS035556,DRS035566,DRS035568,DRS035573,DRS035577,DRS035582,DRS035698,DRS035708,DRS035262,DRS035264,DRS035364,DRS035421,DRS035584,DRS035585,DRS035726"
MGYS00005147,1955,PRJEB5482,ERP004898,"Therapeutic food interventions have reduced mortality in children with severe acute malnutrition (SAM) but incomplete restoration of healthy growth remains a major problem. The relationships between the type of nutritional intervention, the gut microbiota, and therapeutic responses are unclear. In the current study, bacterial species whose proportional representation define a healthy gut microbiota as it assembles during the first two postnatal years were identified by applying a machine-learning-based approach to 16S rRNA datasets generated from monthly fecal samples obtained from a birth-cohort of children, living in an urban slum of Dhaka, Bangladesh, who exhibited consistently healthy growth. These age-discriminatory bacterial species were incorporated into a model that computes a relative microbiota maturity index and microbiota-for-age Z-score that compare development (defined here as maturation) of a childs fecal microbiota relative to healthy children of similar chronologic age. The model was applied to twins and triplets (to test for associations of these indices with genetic and environmental factors including diarrhea), children with SAM enrolled in a randomized trial of two food interventions, and children with moderate acute malnutrition. Our results indicate that SAM is associated with significant relative microbiota immaturity that is only partially ameliorated following two widely used nutritional interventions. Immaturity is also evident in less severe forms of malnutrition and correlates with anthropometric measurements. Microbiota maturity indices provide a microbial measure of human postnatal development, a way of classifying malnourished states, and a parameter for judging therapeutic efficacy. More prolonged interventions with existing or new therapeutic foods and/or addition of gut microbes may be needed to achieve enduring repair of gut microbiota immaturity in childhood malnutrition and improve clinical outcomes. (Subramanian et al., doi:10.1038/nature13421)",Persistent gut microbiota immaturity in malnourished Bangladeshi children,"ERS440524,ERS440550,ERS439602,ERS439592,ERS439423,ERS439448,ERS439466,ERS439490,ERS440876,ERS440933,ERS440462,ERS441082,ERS440909,ERS440968,ERS440658,ERS441008,ERS440686,ERS441023,ERS440754,ERS441063,ERS440869,ERS439525,ERS439630,ERS439651,ERS439663"
MGYS00005142,4357,PRJEB11697,ERP013105,"Abstract: Immunoglobulin A (IgA) is the major class of antibody secreted by the gut mucosa, where it contributes to barrier function by preventing microbial and food antigens from interacting with host tissues1,2. The lack of metrics for quantifying development of the gut microbiota and mucosal immune system has hindered the ability to dissect the effects of microbial, host and environmental factors on their co-development. Therefore, we subjected fecal samples, collected monthly during the first 3 postnatal years from 40 healthy USA twin pairs, to bacterial 16S rRNA gene sequencing and to fluorescence-activated cell sorting to distinguish IgA-targeted from non-targeted taxa. Applying a machine-learning algorithm (Random Forests), we identified a set of 25 age-discriminatory bacterial taxa whose patterns of representation define a program of microbiota assembly/maturation shared across twin pairs. Remarkably, IgA responses to 30 taxa, including a subset of the age-discriminatory organisms, converge on a pattern shared across twin pairs by the second postnatal year; the observed targeting patterns were not simple reflections of relative abundance or taxonomy. Zygosity, delivery mode, and breast versus formula feeding had small albeit statistically significant effects on targeting. In follow-up studies, young germ-free mice were colonized with fecal microbiota obtained from two twin pairs at 6 and 18 months of age, and fed a sequence of human diets designed to simulate the transition from milk feeding to complementary foods. Distinct age-associated differences in mucosal IgA responses to the transplanted human microbiota were recapitulated in both diet contexts for both twin pairs, suggesting that intrinsic properties of their community members play a dominant role in dictating IgA responses.  This approach can be used to define gut mucosal immune development in health and disease states, and help identify ways to repair or prevent perturbations in this facet of host immunity.",Characterizing postnatal co-development of the gut microbiota and mucosal IgA responses in healthy twin pairs and a gnotobiotic mouse model,"ERS1085710,ERS1085711,ERS1085714,ERS1085719,ERS1086008,ERS1086011,ERS1086012,ERS1086354,ERS1086360,ERS1087370,ERS1087863,ERS1083306,ERS1083397,ERS1083547,ERS1083551,ERS1083556,ERS1083558,ERS1083930,ERS1084054,ERS1084060,ERS1084088,ERS1084100,ERS1084520,ERS1084542,ERS1085614"
MGYS00005130,115,PRJEB30401,ERP112853,"Parkinson's disease is a neurodegenerative disorder characterized by the accumulation of intracellular aggregates of misfolded alpha-synuclein along the cerebral axis. Several studies report the association between intestinal dysbiosis and Parkinson, although a cause-effect relationship yet remains to be established. Herein, the composition of the microbiota in fecal extracts of 64 patients with Parkinson's disease and 51 controls was determined using a next generation sequencing approach. A hypothetical functional profile based on the 16S rRNA profile using a predictive metagenomic tool was also performed. A significant decrease in the abundance of taxa belonging to the phylum Firmicutes, particularly in the Lachnospiraceae family was detected in the patient group. Key members of the Lachnospiraceae family, such as the genus Blautia and some related species, were significantly reduced in patients compared to controls. Moreover, consistent with depletion of short chain fatty acids-producing bacteria, genera and species within the Lachnospiraceae family (Butyrivibrio, Pseudobutyrivibrio, Coprococcus, Roseburia and Roseburia faecis) were also decreased. Interestingly, the relative abundance of Brevibacteriaceae and Lachnospiraceae was positively associated with tremor-dominant phenotype, whereas abundance of Enterobacteriaceae and Escherichia was positively associated with non-TD phenotypes. Finally, the functional prediction of gut metagenome composition in patients, in comparison with those of healthy controls, showed the presence of 81 significantly altered metabolic pathways. In particular, there was a significant increase of most pathways of the amino acids and lipids metabolisms, of other secondary metabolites, and in the metabolism and biodegradation of xenobiotics.",Gut Microbiome Alterations Drive Distinct Metabolic Expression Patterns in a Cohort of Italian Patients with Parkinson's Disease,"ERS2988204,ERS2988205,ERS2988206,ERS2988207,ERS2988208,ERS2988209,ERS2988210,ERS2988211,ERS2988212,ERS2988213,ERS2988214,ERS2988215,ERS2988216,ERS2988217,ERS2988218,ERS2988219,ERS2988220,ERS2988221,ERS2988222,ERS2988223,ERS2988224,ERS2988225,ERS2988226,ERS2988227,ERS2988228"
MGYS00003894,89,PRJNA486437,SRP158183,"The 89 fresh feces samples (including 47 modified Kato-Katz thick smear-positive volunteers and 42 healthy controls from five rural communities) were collected in duplicate, with one for microscopic examination, and another one immediately stored at -80? until DNA extraction. All of the subjects were found no other parasite eggs (such as horkworms, roundworm, whipworm, pinworm, Taenia) by microscope.",feces metagenome,"SRS3678195,SRS3678196,SRS3678197,SRS3678198,SRS3678199,SRS3678200,SRS3678201,SRS3678202,SRS3678203,SRS3678204,SRS3678205,SRS3678206,SRS3678207,SRS3678208,SRS3678209,SRS3678210,SRS3678211,SRS3678212,SRS3678213,SRS3678214,SRS3678215,SRS3678216,SRS3678217,SRS3678218,SRS3678219"
MGYS00001257,271,PRJNA298590,SRP064846,"The objective of the study was to investigate the efficacy of fresh, frozen or lyophilized fecal microbiota transplantation (FMT) via colonoscopy in patients with recurrent C. difficile associated diarrhea (RCDAD). After a course of oral vancomycin we performed FMT in 36 patients with =3 bouts of RCDAD. FMT products from thoroughly screened healthy donors after filtering stools twice were given as single (non-pooled) product either as fresh, frozen (-80C) or lyophilized. Patients submitted fresh stools pre- and on 7, 14 and 30 days post-FMT. Bacterial DNA was extracted and the V4 region of the 16S rRNA gene was amplified by PCR and amplicons were sequenced on the MiSeq (Illumina) platform. The unique aspects of this study are the comparative efficacy in different patients with recurrent CDI of FMT using the same donor providing either fresh or frozen product, or the successful use of lyophilized FMT products.",Homo sapiens fecal microbiome transplant,"SRS1115212,SRS1115213,SRS1115214,SRS1115215,SRS1115216,SRS1115217,SRS1115218,SRS1115219,SRS1115220,SRS1115221,SRS1115222,SRS1115224,SRS1115225,SRS1115226,SRS1115227,SRS1115228,SRS1115229,SRS1115230,SRS1115231,SRS1115232,SRS1115233,SRS1115234,SRS1115235,SRS1115236,SRS1115237"
